50,120,120,2,80000,5,-32.5,40,64e5,100,1,1
50,120,120,2,80000,5,-32.5,40,64e5,100,1,2
50,120,120,2,80000,5,-32.5,40,64e5,100,1,3
50,120,120,2,80000,5,-32.5,40,64e5,100,1,4
50,120,120,2,80000,5,-32.5,40,64e5,100,1,5
50,120,120,2,100000,5,-32.5,40,64e5,100,1,1
50,120,120,2,100000,5,-32.5,40,64e5,100,1,2
50,120,120,2,100000,5,-32.5,40,64e5,100,1,3
50,120,120,2,100000,5,-32.5,40,64e5,100,1,4
50,120,120,2,100000,5,-32.5,40,64e5,100,1,5
50,120,120,2,150000,5,-32.5,40,64e5,100,1,1
50,120,120,2,150000,5,-32.5,40,64e5,100,1,2
50,120,120,2,150000,5,-32.5,40,64e5,100,1,3
50,120,120,2,150000,5,-32.5,40,64e5,100,1,4
50,120,120,2,150000,5,-32.5,40,64e5,100,1,5
50,120,120,2,250000,5,-32.5,40,64e5,100,1,1
50,120,120,2,250000,5,-32.5,40,64e5,100,1,2
50,120,120,2,250000,5,-32.5,40,64e5,100,1,3
50,120,120,2,250000,5,-32.5,40,64e5,100,1,4
50,120,120,2,250000,5,-32.5,40,64e5,100,1,5
50,120,120,2,350000,5,-32.5,40,64e5,100,1,1
50,120,120,2,350000,5,-32.5,40,64e5,100,1,2
50,120,120,2,350000,5,-32.5,40,64e5,100,1,3
50,120,120,2,350000,5,-32.5,40,64e5,100,1,4
50,120,120,2,350000,5,-32.5,40,64e5,100,1,5
50,120,120,2,500000,5,-32.5,40,64e5,100,1,1
50,120,120,2,500000,5,-32.5,40,64e5,100,1,2
50,120,120,2,500000,5,-32.5,40,64e5,100,1,3
50,120,120,2,500000,5,-32.5,40,64e5,100,1,4
50,120,120,2,500000,5,-32.5,40,64e5,100,1,5
50,120,120,2,700000,5,-32.5,40,64e5,100,1,1
50,120,120,2,700000,5,-32.5,40,64e5,100,1,2
50,120,120,2,700000,5,-32.5,40,64e5,100,1,3
50,120,120,2,700000,5,-32.5,40,64e5,100,1,4
50,120,120,2,700000,5,-32.5,40,64e5,100,1,5
50,120,120,2,900000,5,-32.5,40,64e5,100,1,1
50,120,120,2,900000,5,-32.5,40,64e5,100,1,2
50,120,120,2,900000,5,-32.5,40,64e5,100,1,3
50,120,120,2,900000,5,-32.5,40,64e5,100,1,4
50,120,120,2,900000,5,-32.5,40,64e5,100,1,5
50,120,120,2,1100000,5,-32.5,40,64e5,100,1,1
50,120,120,2,1100000,5,-32.5,40,64e5,100,1,2
50,120,120,2,1100000,5,-32.5,40,64e5,100,1,3
50,120,120,2,1100000,5,-32.5,40,64e5,100,1,4
50,120,120,2,1100000,5,-32.5,40,64e5,100,1,5
50,120,20,2,25000,5,-28,40,64e5,100,1,1
50,120,20,2,25000,5,-28,40,64e5,100,1,2
50,120,20,2,25000,5,-28,40,64e5,100,1,3
50,120,20,2,25000,5,-28,40,64e5,100,1,4
50,120,20,2,25000,5,-28,40,64e5,100,1,5
50,120,40,2,50000,5,-28,40,64e5,100,1,1
50,120,40,2,50000,5,-28,40,64e5,100,1,2
50,120,40,2,50000,5,-28,40,64e5,100,1,3
50,120,40,2,50000,5,-28,40,64e5,100,1,4
50,120,40,2,50000,5,-28,40,64e5,100,1,5
50,120,50,2,62500,5,-28,40,64e5,100,1,1
50,120,50,2,62500,5,-28,40,64e5,100,1,2
50,120,50,2,62500,5,-28,40,64e5,100,1,3
50,120,50,2,62500,5,-28,40,64e5,100,1,4
50,120,50,2,62500,5,-28,40,64e5,100,1,5
50,120,20,2,0,1,-28,40,64e5,100,1,1
50,120,20,2,0,1,-28,40,64e5,100,1,2
50,120,20,2,0,1,-28,40,64e5,100,1,3
50,120,20,2,0,1,-28,40,64e5,100,1,4
50,120,20,2,0,1,-28,40,64e5,100,1,5
50,120,40,2,0,1,-28,40,64e5,100,1,1
50,120,40,2,0,1,-28,40,64e5,100,1,2
50,120,40,2,0,1,-28,40,64e5,100,1,3
50,120,40,2,0,1,-28,40,64e5,100,1,4
50,120,40,2,0,1,-28,40,64e5,100,1,5
50,120,50,2,0,1,-28,40,64e5,100,1,1
50,120,50,2,0,1,-28,40,64e5,100,1,2
50,120,50,2,0,1,-28,40,64e5,100,1,3
50,120,50,2,0,1,-28,40,64e5,100,1,4
50,120,50,2,0,1,-28,40,64e5,100,1,5
50,100,100,2,0,1,-28,40,64e5,100,1,1
50,100,100,2,0,1,-28,40,64e5,100,1,2
50,100,100,2,0,1,-28,40,64e5,100,1,3
50,100,100,2,0,1,-28,40,64e5,100,1,4
50,100,100,2,0,1,-28,40,64e5,100,1,5
50,100,100,2,10000,5,-28,40,64e5,100,1,1
50,100,100,2,10000,5,-28,40,64e5,100,1,2
50,100,100,2,10000,5,-28,40,64e5,100,1,3
50,100,100,2,10000,5,-28,40,64e5,100,1,4
50,100,100,2,10000,5,-28,40,64e5,100,1,5
50,100,100,2,20000,5,-28,40,64e5,100,1,1
50,100,100,2,20000,5,-28,40,64e5,100,1,2
50,100,100,2,20000,5,-28,40,64e5,100,1,3
50,100,100,2,20000,5,-28,40,64e5,100,1,4
50,100,100,2,20000,5,-28,40,64e5,100,1,5
50,100,100,2,30000,5,-28,40,64e5,100,1,1
50,100,100,2,30000,5,-28,40,64e5,100,1,2
50,100,100,2,30000,5,-28,40,64e5,100,1,3
50,100,100,2,30000,5,-28,40,64e5,100,1,4
50,100,100,2,30000,5,-28,40,64e5,100,1,5
50,100,100,2,45000,5,-28,40,64e5,100,1,1
50,100,100,2,45000,5,-28,40,64e5,100,1,2
50,100,100,2,45000,5,-28,40,64e5,100,1,3
50,100,100,2,45000,5,-28,40,64e5,100,1,4
50,100,100,2,45000,5,-28,40,64e5,100,1,5
50,100,100,2,55000,5,-28,40,64e5,100,1,1
50,100,100,2,55000,5,-28,40,64e5,100,1,2
50,100,100,2,55000,5,-28,40,64e5,100,1,3
50,100,100,2,55000,5,-28,40,64e5,100,1,4
50,100,100,2,55000,5,-28,40,64e5,100,1,5
50,100,100,2,80000,5,-28,40,64e5,100,1,1
50,100,100,2,80000,5,-28,40,64e5,100,1,2
50,100,100,2,80000,5,-28,40,64e5,100,1,3
50,100,100,2,80000,5,-28,40,64e5,100,1,4
50,100,100,2,80000,5,-28,40,64e5,100,1,5
50,100,100,2,120000,5,-28,40,64e5,100,1,1
50,100,100,2,120000,5,-28,40,64e5,100,1,2
50,100,100,2,120000,5,-28,40,64e5,100,1,3
50,100,100,2,120000,5,-28,40,64e5,100,1,4
50,100,100,2,120000,5,-28,40,64e5,100,1,5
50,100,100,2,160000,5,-28,40,64e5,100,1,1
50,100,100,2,160000,5,-28,40,64e5,100,1,2
50,100,100,2,160000,5,-28,40,64e5,100,1,3
50,100,100,2,160000,5,-28,40,64e5,100,1,4
50,100,100,2,160000,5,-28,40,64e5,100,1,5
50,100,100,2,280000,5,-28,40,64e5,100,1,1
50,100,100,2,280000,5,-28,40,64e5,100,1,2
50,100,100,2,280000,5,-28,40,64e5,100,1,3
50,100,100,2,280000,5,-28,40,64e5,100,1,4
50,100,100,2,280000,5,-28,40,64e5,100,1,5
50,100,100,2,350000,5,-28,40,64e5,100,1,1
50,100,100,2,350000,5,-28,40,64e5,100,1,2
50,100,100,2,350000,5,-28,40,64e5,100,1,3
50,100,100,2,350000,5,-28,40,64e5,100,1,4
50,100,100,2,350000,5,-28,40,64e5,100,1,5
50,100,100,2,30000,5,-28,40,64e5,100,1,5
50,100,100,2,45000,5,-28,40,64e5,100,1,1
50,100,100,2,55000,5,-28,40,64e5,100,1,1
50,100,100,2,55000,5,-28,40,64e5,100,1,2
50,100,100,2,80000,5,-28,40,64e5,100,1,2
50,100,100,2,80000,5,-28,40,64e5,100,1,5
50,100,100,2,120000,5,-28,40,64e5,100,1,1
50,100,100,2,120000,5,-28,40,64e5,100,1,5
50,100,100,2,0,1,-28,40,32e5,50,1,1
50,100,100,2,0,1,-28,40,32e5,50,1,2
50,100,100,2,0,1,-28,40,32e5,50,1,3
50,100,100,2,0,1,-28,40,32e5,50,1,4
50,100,100,2,0,1,-28,40,32e5,50,1,5
50,100,100,2,30000,5,-28,40,32e5,50,1,1
50,100,100,2,30000,5,-28,40,32e5,50,1,2
50,100,100,2,30000,5,-28,40,32e5,50,1,3
50,100,100,2,30000,5,-28,40,32e5,50,1,4
50,100,100,2,30000,5,-28,40,32e5,50,1,5
50,100,100,2,80000,5,-28,40,32e5,50,1,1
50,100,100,2,80000,5,-28,40,32e5,50,1,2
50,100,100,2,80000,5,-28,40,32e5,50,1,3
50,100,100,2,80000,5,-28,40,32e5,50,1,4
50,100,100,2,80000,5,-28,40,32e5,50,1,5
50,100,100,2,350000,5,-28,40,32e5,50,1,1
50,100,100,2,350000,5,-28,40,32e5,50,1,2
50,100,100,2,350000,5,-28,40,32e5,50,1,3
50,100,100,2,350000,5,-28,40,32e5,50,1,4
50,100,100,2,350000,5,-28,40,32e5,50,1,5
50,120,120,2,0,1,-32.5,40,64e5,100,1,1
50,120,120,2,0,1,-32.5,40,64e5,100,1,2
50,120,120,2,0,1,-32.5,40,64e5,100,1,3
50,120,120,2,0,1,-32.5,40,64e5,100,1,4
50,120,120,2,0,1,-32.5,40,64e5,100,1,5
